商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14)
002269,美邦服饰,7160624760,4951,非耐用消费品,SZSE,服装/鞋类,1.97783721,,-33.15933601,5.93932943,48.95603189
300685,艾德生物,18264198234,840,健康科技,SZSE,医学专业,0.02700493,90.59521394,18.890336,16.81309845,48.97148364
603489,八方股份,25439394731,659,电子科技,SSE,电子元器件,0.00907481,53.04339392,21.37578097,11.10002403,48.98042268
600211,西藏药业,14603539799,476,健康科技,SSE,药品:专业,0.01660041,34.64313353,16.75248439,6.00767639,48.99673287
002885,京泉华,2509883940,3549,电子科技,SZSE,电子元器件,0.49718898,127.52707581,2.52172095,3.1694548,49.00033875
300486,东杰智能,4304934279,774,制造业,SZSE,卡车/建筑/农业机械,0.4028518,40.53231939,7.32575547,2.91831723,49.03943224
600892,大晟文化,2131558465,364,制造业,SSE,电子设备,0.36594239,3200,0.23666651,8.03061673,49.04150601
002908,德生科技,3087208040,1122,电子科技,SZSE,电子生产设备,0.07482142,41.99134199,9.70344106,3.97985455,49.0422809
300307,慈星股份,5830646694,1595,制造业,SZSE,工业机械,0.16650927,,-15.99502673,2.2932982,49.05703086
600877,电能股份,11238950257,404,耐用消费品,SSE,机动车,0.21561906,145.94594595,20.53007201,27.31853411,49.08193074
600327,大东方,5246742164,3657,零售行业,SSE,折扣商店,0.47521703,14.22878575,10.94739619,1.57200536,49.08274672
603920,世运电路,7359346741,4913,电子科技,SSE,电子生产设备,0.53983342,26.18050267,10.4079002,2.69585642,49.08696221
900922,三毛B股,1170582384.0983,820,加工制造业,SSE,纺织品,0.00515696,,-6.65401653,1.36185566,49.09670314
300554,三超新材,1612943385,570,加工制造业,SZSE,特种工业品,0.46805136,73.04347412,4.30447223,2.87220619,49.10201625
000409,云鼎科技,2426922974,381,非能源矿业,SZSE,贵金属,0.02601396,25.52055526,18.8564017,4.89002558,49.1131049
300125,聆达股份,3649066589,749,电子科技,SZSE,半导体,0.6613387,,-6.9047531,4.93803782,49.11908461
000958,东方能源,23148700392,2836,公用事业,SZSE,发电厂,1.54946646,17.40558292,8.04183429,1.37397802,49.12551026
600960,渤海汽车,3659484596,5296,制造业,SSE,汽车零件：OEM,0.39589704,43.14606742,1.74206619,0.72798003,49.1269284
300350,华鹏飞,4552299586,872,运输,SZSE,空运/快递,0.27533784,27.13355049,30.00578702,9.20025182,49.16053602
600227,圣济堂,5214853445,1213,加工制造业,SSE,化学品：农业,0.16197544,45.59043348,3.54764155,1.60364263,49.18376236
300678,中科信息,3351600151,506,科技服务,SZSE,套装软件,0.00051842,104.52513408,5.32047403,5.46282128,49.19106058
600810,神马股份,10297897383,9454,加工制造业,SSE,特种工业品,2.12882218,15.19868906,13.9155973,1.89698987,49.19231174
