商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
JHAA,NUVEEN CORPORATE INCOME 2023 TARGET,79428400.0,,其他,NYSE,投资信托/互惠基金,0.31232654,46.94727105,2.12222224,1.01152339,-1,-1,-1
BOTJ,JAMES FINANCIAL GROUP INC,78514010.328,146.0,金融,NASDAQ,地区银行,0.15350354,13.19827072,9.04696025,1.15143412,52,60,112
RFIL,RF INDUSTRIES,76887666.6,271.0,电子科技,NASDAQ,电子元器件,0.12606505,,-1.591214,2.33232225,43,12,88
FEO,FIRST TR/ABERDEEN EMERGING OPPORTUN,75226400.0,,其他,NYSE,投资信托/互惠基金,0.07189909,8.40772149,11.18807714,0.93351306,90,76,46
GIFI,GULF ISLAND FABRICATION INC,74021337.0,875.0,制造业,NASDAQ,金属加工,0.09264921,,-38.95852483,0.57978202,37,0,80
PKKW,PARKWAY ACQUISITION CORP,73813416.0,230.0,金融,OTC,大银行,0.125825,12.2994186,7.2697511,0.87163119,46,68,47
HTY,HANCOCK JOHN INVT TR,71920000.0,,其他,NYSE,投资信托/互惠基金,0.00044289,,-17.80629746,1.13974798,52,56,48
BCDA,BIOCARDIA INC,71705683.0,29.0,健康科技,NASDAQ,生物科技,0.0252128,,-154.85849876,3.24656009,-1,-2,-1
LIVE,LIVE VENTURES INCORPORATED,71522728.2,1150.0,零售行业,NASDAQ,互联网零售,1.93892268,6.54999924,46.93153001,1.55799912,99,39,487
MVO,MV OIL TRUST,70955000.0,,其他,NYSE,投资信托/互惠基金,0.0,15.04878049,43.82458807,6.70440839,40,2,217
WAYN,"WAYNE SAVINGS BANCSHARES, INC.",70915500.0,,金融,OTC,储蓄银行,0.90636096,8.76670056,14.38050906,1.19106094,57,77,64
OMZNF,OSISKO METALS INC.,70831223.85,,非能源矿业,OTC,其他金属/矿物,0.0,,-2.64685721,1.00366304,-1,-1,-1
NCSM,NCS MULTISTAGE HOLDINGS INC,70140879.6,210.0,工业服务,NASDAQ,油田服务/设备,0.10096228,,-10.37595967,0.70539392,50,0,300
BYFC,BROADWAY FINANCIAL CORP DELAWARE,68073306.24,64.0,金融,NASDAQ,储蓄银行,2.51930074,,-8.7025787,1.30769937,86,58,155
PLBN,"PILOT BANCSHARES, INC.",67650440.0,,金融,OTC,金融集团,1.78858846,,,,60,60,125
CPTA,CAPITALA FINANCE CORP,67641200.0,,金融,NASDAQ,投资经理,1.59864304,3.91999749,17.33167306,0.62086283,28,67,189
DTMXF,DATAMETREX AI LIMIT,67541808.3,,科技服务,OTC,IT服务,0.15974152,,-162.74017766,23.28156033,99,28,1127
RNGR,RANGER ENERGY SERVICES INC,66373650.0,700.0,工业服务,NYSE,油田服务/设备,0.20180893,,-15.73896353,0.62869832,43,26,244
NBO,NEUBERGER BERMAN N Y MUN FD INC,65391800.0,,其他,NYSE ARCA,投资信托/互惠基金,0.71160971,,-4.01283103,,79,76,17
MIMZF,NIGHTHAWK GOLD CORP.,65067138.40000001,3.0,非能源矿业,OTC,贵金属,0.0,,-29.95339257,3.77325364,-1,-2,-1
GLBXF,GLOBEX MINING ENTERPRISES INC.,64701764.71999999,,非能源矿业,OTC,贵金属,0.0,13.02380371,90.03934888,7.91784144,98,64,392
CEN,CENTER CST BRKFLD MLP & ENGY INFRA,64438800.0,,其他,NYSE,投资信托/互惠基金,0.35825813,,-173.63236048,,26,11,89
MNDO,MIND C.T.I,62755412.0,188.0,商业服务,NASDAQ,杂项商业服务,0.08875709,10.92644979,30.33501239,2.6712311,97,77,91
WMLLF,WEALTH MINERALS LTD.,62733330.0,,非能源矿业,OTC,其他金属/矿物,0.09289981,,-14.3552009,1.91710482,37,0,560
SCX,STARRETT(L.S.)CO,62724346.5,1485.0,耐用消费品,NYSE,五金工具,0.51785527,,-20.32092001,1.35246848,50,10,270
VFL,DELAWARE INVT NATIONAL MUNI INC FD,62124200.0,,其他,NYSE ARCA,投资信托/互惠基金,0.48321114,,-0.25506518,1.00073377,71,77,19
CREG,CHINA RECYCLING ENERGY CORP,61988791.50000001,16.0,制造业,NASDAQ,工业机械,0.19557897,6.25945797,4.24020161,0.31372592,69,0,481
BDL,FLANIGAN'S ENTERPRISES INC,60963719.99999999,1804.0,消费者服务,NYSE ARCA,餐厅,1.07454175,20.27714834,7.79056317,1.64502385,52,0,139
BKRRF,BLACKROCK SILVER CORP.,60060490.8,,非能源矿业,OTC,其他金属/矿物,0.0,,-598.40663792,18.04239217,-1,-1,-1
SICNF,SOKOMAN MINERALS CORP.,59704367.2,,非能源矿业,OTC,钢铁,0.0,,-55.85656587,21.22027221,99,24,558
CNAF,COMMERCIAL NATIONAL FINANCIAL CORP.,58650500.0,80.0,金融,OTC,地区银行,0.00433549,,7.73943135,0.84888629,36,60,36
IFHI,"INTEGRATED FINANCIAL HOLDINGS, INC.",58563540.0,,金融,OTC,地区银行,0.04956752,4.38389972,18.43758868,0.76171196,-1,-1,-1
IHT,INNSUITES HOSPITALITY TRUST,58538500.0,,金融,NYSE ARCA,房地产投资信托基金,4.39514547,,-25.83323647,9.83045806,64,13,850
FMY,FIRST TRUST MORTGAGE INCOME FUND,57403800.0,,其他,NYSE,投资信托/互惠基金,0.0,53.18110851,1.74534137,0.94293529,98,83,6
APWC,ASIA PACIFIC WIRE & CABLE,56246179.00000001,,电子科技,NASDAQ,电信设备,0.08739709,,-0.38491888,0.31333503,68,0,674
CBWA,COMMENCEMENT BANCORP INC,55861422.8,,金融,OTC,地区银行,0.0,12.08957887,9.16801174,1.09345621,47,2,39
PVL,PERMIANVILLE ROYALTY TRUST,54780000.0,,能源矿产,NYSE,成品油,0.0,18.63075196,4.06049748,0.77213971,35,3,289
ARFXF,PROMIS NEUROSCIENCES INC,54520290.0,,健康科技,OTC,生物科技,0.0,,,,37,0,200
SOHO,SOTHERLY HOTELS INC,53872000.0,10.0,金融,NASDAQ,房地产投资信托基金,10.5779972,,-67.88550608,1.07732786,38,54,193
CHCI,COMSTOCK HOLDING COMPANIES INC,53868117.0,147.0,耐用消费品,NASDAQ,住宅设计,1.16844126,22.4453209,23.40414896,11.37830125,98,23,287
BGI,BIRKS GROUP INC,53732901.3,291.0,零售行业,NYSE ARCA,专业商店,251.19188768,,-170.07327929,23.55412197,65,11,667
TTP,TORTOISE PIPELINE & ENERGY FD INC,53056900.0,,其他,NYSE,投资信托/互惠基金,0.52279847,,-94.55042586,0.43705847,37,7,109
AINC,ASHFORD INC,52096349.09999999,99.0,金融,NYSE ARCA,投资经理,0.51034422,,-14.4533053,,30,0,288
LUMIF,LUMINEX RESOURCES CORP.,51919277.6,,非能源矿业,OTC,贵金属,0.00048531,,-28.40100445,1.6593865,-1,-1,-1
CCNB,COASTAL CAROLINA BANCSHARES INC,51796535.0,,金融,OTC,金融集团,0.18409708,11.99717713,8.44112681,0.97178508,49,63,61
XELB,XCEL BRANDS INC,51213557.34,60.0,非耐用消费品,NASDAQ,服装/鞋类,0.31929925,,-16.23044175,0.58177015,53,30,356
HDRSF,HIGHLAND COPPER COMPANY INC.,51171458.8,,非能源矿业,OTC,其他金属/矿物,-5.06072205,,,,86,0,570
NJMC,NEW JERSEY MINING COMPANY,49672080.0,31.0,非能源矿业,OTC,贵金属,0.45423219,,-33.5111472,5.79182525,96,32,101
SRV,CUSHING MLP & INFRA TOTAL RETRN FD,48063900.0,,其他,NYSE,投资信托/互惠基金,0.14852164,,-40.05252275,0.68943917,48,55,95
QTRRF,QUATERRA RESOURCES INC.,47958373.4,,非能源矿业,OTC,其他金属/矿物,0.0,,-3.99535281,1.58076167,89,20,346
WISA,SUMMIT WIRELESS TECHNOLOGIES INC,46200290.00000001,38.0,电子科技,NASDAQ,半导体,0.08569802,,-256.04691405,4.53647556,-1,-1,-1
ISNS,IMAGE SENSING SYSTEMS INC,45672520.2,46.0,电子科技,NASDAQ,电子设备/仪器,0.00395566,17.42949607,12.05165743,2.08357513,54,20,242
EDRY,EURODRY LTD,43958678.4,,运输,NASDAQ,海运,1.15636496,,-5.32859011,1.19788277,53,19,470
HRTH,"HARTE HANKS, INC.",42668672.0,2434.0,商业服务,OTC,广告/市场营销服务,-1.22621924,,,,55,18,370
CNNB,CINCINNATI BANCORP INC,41292469.80000001,72.0,金融,NASDAQ,储蓄银行,0.89744141,8.58130633,11.55959059,0.98151157,73,78,66
