商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
1503,CMC REIT,3157900000.0,,金融,HKEX,房地产投资信托基金,0.51476103,9.73574409,7.22076785,0.68124366,-1,-1,-1
1086,GOODBABY INTL,3135880000.0,9375.0,耐用消费品,HKEX,其他消费特产,0.51739952,12.2236671,4.75713311,0.54542395,-1,-1,-1
331,FSE LIFESTYLE,3127500000.0,13701.0,工业服务,HKEX,工程建设,0.44479281,6.43339813,93.7243005,10.2972116,-1,-1,-1
82,V1 GROUP,3121100000.0,,科技服务,HKEX,互联网软件/服务,0.0356375,,7.78771593,,-1,-1,-1
3358,BESTWAY GLOBAL,3079910000.0,,制造业,HKEX,杂项制造,0.44644589,8.42989571,10.01433408,0.78517715,-1,-1,-1
3833,XINXIN MINING,3071900000.0,,非能源矿业,HKEX,其他金属/矿物,0.45868985,17.41854637,3.52642259,,-1,-1,-1
1599,UCD,3061480000.0,4389.0,工业服务,HKEX,工程建设,0.98563049,3.45773039,14.92279706,0.47377637,-1,-1,-1
1061,ESSEX BIO-TECH,3038060000.0,1242.0,健康科技,HKEX,生物科技,0.39459875,14.13626609,16.69062338,2.13174767,-1,-1,-1
400,COGOBUY,3020820000.0,,配送服务,HKEX,电子经销商,0.04475557,22.02868852,2.95188251,0.65177586,-1,-1,-1
30,BAN LOONG HOLD,2998390000.0,29.0,其他,HKEX,其他,0.0946024,65.49295775,5.73564693,3.74879071,-1,-1,-1
2337,UNITED STRENGTH,2988530000.0,,零售行业,HKEX,专业商店,2.32994399,19.75247525,46.91111129,,-1,-1,-1
1332,TOUYUN BIOTECH,2943840000.0,,加工制造业,HKEX,容器/包装,0.40013552,,-32.79598309,5.96726529,-1,-1,-1
989,HUA YIN INTL H,2942470000.0,228.0,通讯,HKEX,主要电信,-4.831538,,-189.26500722,,-1,-1,-1
1323,HUASHENG INTL,2939240000.0,300.0,非耐用消费品,HKEX,家庭/个人护理,0.40350882,,-15.70487204,3.72604684,-1,-1,-1
709,GIORDANO INT'L,2871910000.0,,零售行业,HKEX,零售服装/鞋类,0.34929685,,-4.38356164,,-1,-1,-1
1341,HAO TIAN INTL,2863400000.0,128.0,制造业,HKEX,卡车/建筑/农业机械,0.4056338,,-1.18494915,1.70250896,-1,-1,-1
321,TEXWINCA HOLD,2860120000.0,11589.0,加工制造业,HKEX,纺织品,0.1268353,29.32011331,1.87286188,0.58011956,-1,-1,-1
1543,JOIN-SHARE,2856250000.0,,金融,HKEX,金融/租赁,0.06033397,23.79713914,4.9705303,,-1,-1,-1
719,SHANDONG XINHUA,2841970000.0,6497.0,健康科技,HKEX,药品：其他,0.6001178,7.26077897,10.68362289,0.7370048,-1,-1,-1
2111,BEST PACIFIC,2786690000.0,7825.0,加工制造业,HKEX,纺织品,0.78744548,10.81081081,9.43138174,0.94969117,-1,-1,-1
547,DIGITAL DOMAIN,2780540000.0,1090.0,消费者服务,HKEX,电影/娱乐,0.50583918,,-51.51758192,2.75415148,-1,-1,-1
767,ZHONG JI LS,2747770000.0,35.0,金融,HKEX,投资银行/经纪商,0.01913446,,-1.67523584,6.40736396,-1,-1,-1
2348,DAWNRAYS PHARMA,2734340000.0,1090.0,健康科技,HKEX,药品:专业,0.00135053,9.43106099,12.46106073,1.07597935,-1,-1,-1
626,PUBLIC FIN HOLD,2700880000.0,1363.0,金融,HKEX,金融/租赁,0.25581608,6.80309735,4.88836497,0.32677915,-1,-1,-1
715,CHINA OCEANWIDE,2695830000.0,83.0,金融,HKEX,房地产开发,1.38974207,,-9.63246719,0.29529299,-1,-1,-1
2060,PUJIANG INTL,2684560000.0,,制造业,HKEX,金属加工,1.00066382,15.79952267,8.7204059,1.28331382,-1,-1,-1
160,HON KWOK LAND,2629570000.0,330.0,金融,HKEX,房地产开发,0.49391421,,-1.46701803,0.2324709,-1,-1,-1
2225,JINHAI INTL,2619900000.0,,工业服务,HKEX,工程建设,0.21591347,373.68421053,4.8485989,17.51932884,-1,-1,-1
975,MONGOL MINING,2603830000.0,,能源矿产,HKEX,煤炭,0.62836069,11.60550459,3.56142509,0.40892127,-1,-1,-1
750,SFSY ENERGY,2596710000.0,1400.0,耐用消费品,HKEX,家居装修,1.29823575,7.72693173,7.1556743,0.51965874,-1,-1,-1
2296,HUARCHI GLOBAL,2580000000.0,,工业服务,HKEX,工程建设,0.06064204,132.98969072,7.49407201,9.59036503,-1,-1,-1
2255,HAICHANG HLDG,2560000000.0,,消费者服务,HKEX,电影/娱乐,3.0828147,,-38.85306274,,-1,-1,-1
