商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14),accums,currents
300848,美瑞新材,4261546161.0,260.0,加工制造业,SZSE,化学品：特种,0.41120994,37.16711129,21.32439799,5.44239912,50.8254175,6,-3
688068,热景生物,10791064756.0,724.0,健康科技,SSE,医学专业,0.01873788,15.13737055,71.65665903,14.528944,50.83179979,8,-3
605339,南侨食品,17716236370.0,1344.0,非耐用消费品,SSE,食品：特色/糖果,0.2402653,,17.30190633,9.11235712,50.83422699,2,-21
000025,特 力Ａ,5947299458.331404,302.0,耐用消费品,SZSE,电子/电器,0.01813125,86.10465116,5.68520675,4.87130993,50.83697975,3,-3
300076,GQY视讯,2671200081.0,233.0,科技服务,SZSE,套装软件,0.0,355.93220339,0.73371204,2.58902336,50.86194911,2,-8
600824,益民集团,4005302928.0,592.0,零售行业,SSE,百货公司,0.17843313,18.74691663,8.3060549,1.52563264,50.88262774,3,-1
603596,伯特利 ,14008077472.0,2064.0,加工制造业,SSE,特种工业品,0.22196493,28.88926146,18.73393562,5.1999592,50.89479897,12,1
200055,方大Ｂ,4014864354.7529016,2245.0,制造业,SZSE,建筑产品,0.57361103,7.45639081,6.84910581,0.48819695,50.90611421,8,0
002880,卫光生物,8582112150.000001,714.0,健康科技,SZSE,生物科技,0.01211682,46.21397167,11.94464454,5.35114787,50.91590019,6,2
600660,福耀玻璃,131083106428.82507,25871.0,耐用消费品,SSE,家居装修,0.55168561,44.07602696,13.49644138,6.11837605,50.91764466,4,-1
601718,际华集团,12252645843.0,20714.0,非耐用消费品,SSE,服装/鞋类,0.32486529,,-4.51188559,0.71754092,50.92041687,3,-1
603110,东方材料,6231991701.0,402.0,加工制造业,SSE,特种工业品,0.12311831,119.29891757,8.01759286,9.92500929,50.92223447,2,-3
301005,超捷股份,3159117722.0,527.0,制造业,SZSE,金属加工,0.10424356,,33.00864894,11.72825215,50.92340914,2,4
600345,长江通信,3069000000.0,169.0,电子科技,SSE,电信设备,0.03197827,31.71031097,4.89526153,1.53596131,50.93703654,5,0
002519,银河电子,4562045393.0,2455.0,零售行业,SZSE,数码/电器商店,0.11542964,25.12406948,6.57538171,1.62389084,50.94041763,5,0
002732,燕塘乳业,3760665086.0,1521.0,非耐用消费品,SZSE,食品：肉/鱼/乳制品,0.09594242,27.22095672,13.24106531,3.59070203,50.94135062,8,1
002535,ST林重,1435012619.0,1075.0,制造业,SZSE,卡车/建筑/农业机械,3.0442056,26.91729323,6.89274668,1.74348385,50.94659684,2,-2
002379,宏创控股,3047856045.0,1796.0,制造业,SZSE,金属加工,0.30569109,,-9.62186278,2.14711314,50.94931984,8,1
002803,吉宏股份,9945586349.0,2868.0,加工制造业,SZSE,容器/包装,0.30606758,17.32705636,34.97608568,5.71428571,50.952477,9,0
600862,中航高科,40259117657.0,1692.0,制造业,SSE,工业机械,0.09945087,83.50187807,10.74608113,9.19632402,50.9699776,2,-2
000530,冰山冷热,2650154413.2702427,2487.0,制造业,SZSE,工业机械,0.22950573,63.36633663,1.53308235,0.95921584,50.99775945,15,-1
603511,爱慕股份,12812320124.0,6831.0,非耐用消费品,SSE,服装/鞋类,0.0,,13.73433599,3.71685943,51.00811488,4,-11
300002,神州泰岳,9288691775.0,3062.0,科技服务,SZSE,IT服务,0.07890064,22.45088868,10.96091503,2.36567407,51.02503165,3,-1
000828,东莞控股,11684170480.0,874.0,工业服务,SZSE,工程建设,0.34197541,11.21980435,13.54640114,1.50110647,51.02867834,2,-2
300425,中建环能,2966361547.0,1454.0,工业服务,SZSE,环境服务,0.32923674,16.8716372,9.72292714,1.59530204,51.03199635,3,-3
600106,重庆路桥,3389013749.0,140.0,运输,SSE,其他运输,0.45514609,12.74362819,6.2825517,0.88472854,51.04428689,11,-2
300476,胜宏科技,16624263414.0,8959.0,电子科技,SZSE,电子元器件,1.16336464,27.76623247,16.25647112,4.45546597,51.05396071,19,-1
688078,龙软科技,3111584968.0,339.0,科技服务,SSE,套装软件,0.0,60.30440148,10.39920966,6.08128008,51.05436328,9,-2
300726,宏达电子,25418352899.0,1579.0,电子科技,SZSE,电子生产设备,0.0,41.4308067,30.05310491,12.02862009,51.05599147,10,-2
300781,因赛集团,2423379737.0,562.0,商业服务,SZSE,杂项商业服务,0.03614302,124.0855318,3.08710359,3.89694377,51.05662023,11,-1
605018,长华股份,5596012429.0,2286.0,制造业,SSE,汽车零件：OEM,0.07520004,25.41635125,11.99890064,2.87617253,51.05908674,6,-5
300852,四会富仕,4311670885.0,1037.0,电子科技,SZSE,电子元器件,0.0,34.04426479,19.76663016,4.90941366,51.06218155,7,-1
300623,捷捷微电,24548282751.0,1279.0,电子科技,SZSE,半导体,0.05916016,70.7853137,13.99133635,9.7077996,51.07914111,8,-2
300907,康平科技,2766719971.0,2065.0,制造业,SZSE,工业机械,0.08199817,,10.46266939,3.69184732,51.08501694,2,1
000739,普洛药业,31961559925.0,5868.0,健康科技,SZSE,药品：其他,0.28869557,36.35388874,20.61217379,7.27942328,51.08830662,7,1
002923,润都股份,3989493932.0,1479.0,健康科技,SZSE,药品:专业,0.15557306,29.01284243,13.52055617,3.84345514,51.09454707,4,-2
000682,东方电子,6408674945.0,5665.0,电子科技,SZSE,电子设备/仪器,0.04085933,22.3155929,8.41515137,1.84385126,51.09787724,6,-1
002296,辉煌科技,2271258821.0,835.0,电子科技,SZSE,电子设备/仪器,0.0017797,25.81377744,6.46203862,1.40868344,51.09818192,2,4
002826,易明医药,1796843040.0,440.0,健康科技,SZSE,药品：其他,0.0654788,44.64285714,5.97300297,2.62293271,51.10348894,4,0
002849,威星智能,1621239843.0,743.0,制造业,SZSE,工业机械,0.42790444,20.43891255,10.84717501,2.15211746,51.11045757,4,-2
603637,镇海股份,1786257683.0,346.0,工业服务,SSE,工程建设,0.0,25.24905531,9.03940642,2.20556462,51.11346973,4,1
603901,永创智能,7815554356.0,3422.0,制造业,SSE,工业机械,0.69451824,34.4115192,13.4727801,4.57572562,51.11520761,3,1
002718,友邦吊顶,1837640606.0,808.0,工业服务,SZSE,工程建设,0.3625984,16.09857209,8.88244252,1.38941066,51.11759436,16,-4
688015,交控科技,4921600037.0,1954.0,制造业,SSE,卡车/建筑/农业机械,0.12813125,20.77957171,19.60483273,3.8013322,51.12358678,5,-12
603105,芯能科技,4099999904.999999,312.0,金融,SSE,金融集团,0.88592438,49.75728155,5.49037759,2.67575117,51.15227112,7,-3
000721,西安饮食,2120987740.0,3338.0,消费者服务,SZSE,餐厅,0.88054162,147.56944444,2.48563361,3.38074329,51.16167227,14,-5
603566,普莱柯,7368908477.0,1678.0,健康科技,SSE,药品:专业,0.0,28.90644285,14.95005272,4.31019411,51.17850554,2,-2
688127,蓝特光学,10657933211.0,663.0,电子科技,SSE,电子元器件,0.00014719,,18.02839425,7.70023095,51.17963091,4,0
002985,北摩高科,24478032229.0,729.0,电子科技,SZSE,航空航天 & 国防,0.04381751,67.4474214,19.82024115,6.96083299,51.19050324,11,0
600382,*ST广珠,3629095579.0,63.0,非能源矿业,SSE,其他金属/矿物,0.10854485,11.5,4.85585227,0.57060987,51.19135307,3,-3
600063,皖维高新,9244294703.0,4710.0,加工制造业,SSE,化学品：特种,0.75376406,13.37419894,12.83196132,1.62912882,51.19306953,11,5
900923,百联B股,31214466933.5856,32409.0,零售行业,SSE,百货公司,0.69990963,10.94943952,5.9661941,0.60793782,51.19819921,9,-2
600530,交大昂立,2820708634.0,893.0,健康科技,SSE,药品:专业,0.32552778,31.05802048,11.31068401,3.37850381,51.20098672,3,1
603066,音飞储存,2344615350.0,952.0,制造业,SSE,办公设备/用品,0.00386116,25.80958549,8.86208984,2.24712132,51.20477471,4,-1
600992,贵绳股份,2021992470.0,3748.0,制造业,SSE,金属加工,0.71156968,50.42787286,2.81089493,1.40351474,51.21107016,4,-3
